3,11
8,22
1,8
15,34
22,47
5,16
31,66
12,28
40,83
18,39
27,57
7,17
45,96
10,24
36,76
20,46
50,104
14,35
33,69
2,10
60,123
25,53
9,24
41,88
17,40
55,115
6,18
38,79
13,31
70,146
29,64
4,11
47,100
21,48
11,29
65,137
35,73
16,39
80,166
24,54
42,90
19,43
58,122
30,63
26,58
75,153
23,52
44,94
28,62
90,183
37,81
32,71
52,108
43,89
67,140
34,75
85,176
39,84
49,101
54,111
46,95
61,128
51,109
73,152
48,102
57,118
62,130
56,119
78,159
53,113
68,141
59,125
72,147
63,129
81,165
64,132
77,160
66,135
88,182
69,142
74,154
71,148
95,196
76,158
83,171
79,164
92,191
82,170
87,178
84,172
98,202
86,179
91,188
89,184
100,206
93,189
96,197
94,194
99,203
97,200
